age,employment,income,location,has_medical_aid,heard_of_nmc,nmc_products_known,nmc_impression,knows_cost,why_no_medical_aid,likelihood_to_sign_up,what_would_make_sign_up,willingness_to_pay,benefits_wanted,open_text,sentiment
31-35,Employed part-time,"N$5,000 - N$10,000",Khomas Region,No,Yes,None of the above,Neutral,I have heard figures but I am not sure,I do not fully understand how it works,4.0,Lower monthly cost;My employer covering part or all of the cost;A better understanding of the benefits,"N$500 - N$1,000",Hospitalisation;Chronic medication;Dental;Emergency cover,Cost and not fully understanding the benefits,Neutral
31-35,Employed full-time,"Above N$20,000",Khomas Region,Yes,No,None of the above,I have never heard of them,"Yes, I have a good idea",,3.0,A promotional offer or incentive;Other,I would not pay for it at all,Maternity cover;Mental health support,Too expensive ,Negative
25-30,Employed full-time,"Above N$20,000",Khomas Region,Yes,Yes,Amber;Jade;Ruby,Very positive,"Yes, I have a good idea",,,,,Doctor visits;Hospitalisation;Dental;Optical;Maternity cover,"People aren’t well informed. Additionally, it’s expensive. ",Negative
25-30,Unemployed,"N$10,000 - N$25,000",Khomas Region,No,Yes,None of the above,Somewhat positive,"No, I have no idea",I do not fully understand how it works;My employer does not offer it;Other,3.0,Lower monthly cost;A better understanding of the benefits,Under N$500,Dental;Maternity cover,"We don’t have access to it or at not educated about it,they should promote medical aid like how Mtc promotes Taamba or Maris or how Breweries promotes Windhoek Draught! ",Neutral
25-30,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,Yes,Emerald,Somewhat positive,I have heard figures but I am not sure,,,,,Doctor visits;Optical,Many Young Namibians feel it’s very expensive and would rather pay for doctors visit when they need to rather Ethen every month of payments without use,Negative
18-24,Student,Prefer not to say,Khomas Region,No,No,,,"No, I have no idea",I do not fully understand how it works,1.0,A better understanding of the benefits,"N$500 - N$1,000",Doctor visits;Dental,Because they don't know the benefits of it,Neutral
25-30,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,Yes,None of the above,,"No, I have no idea",,,,,Doctor visits;Hospitalisation;Dental,It's expensive and they think they don't need it,Negative
25-30,Unemployed,Prefer not to say,Other urban area,No,Maybe,,,I have heard figures but I am not sure,I do not fully understand how it works,1.0,Lower monthly cost;A better understanding of the benefits;A recommendation from someone I trust,Under N$500,Chronic medication;Mental health support;Emergency cover,Because they can’t afford it.,Neutral
25-30,Employed full-time,Prefer not to say,Khomas Region,Yes,Yes,Jade,Somewhat positive,"Yes, I have a good idea",,,,,Doctor visits;Optical;Mental health support,Too expensive to afford and periums keep increasing ,Negative
18-24,Unemployed,"Under N$5,000",Khomas Region,No,Yes,Amber Plus,Somewhat positive,"Yes, I have a good idea",Too expensive;Other,5.0,Lower monthly cost;My employer covering part or all of the cost,"N$500 - N$1,000",Doctor visits;Hospitalisation;Dental,"We don’t avoid, many young Namibians do not avoid medical aid by choice but are unable to afford it due to unemployment and financial constraints.",Negative
31-35,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,Yes,Topaz;Topaz Plus;Emerald;Amber;Opal;Jade;Ruby;Emerald Plus;Amber Plus,Somewhat positive,"Yes, I have a good idea",,,,,Doctor visits;Hospitalisation;Chronic medication;Optical;Emergency cover,The cost of a good medical aid option that covers the needs of a young person.,Positive
18-24,Unemployed,"Under N$5,000",Khomas Region,No,Yes,Emerald;Opal,Somewhat positive,I have heard figures but I am not sure,Other,5.0,A better understanding of the benefits,Under N$500,Doctor visits;Maternity cover;Emergency cover,"Since Medical Aid comedy with costs, young Namibians rule it out of their health options mainly due to economic reasons like underemployment and unemployment. On average a young person in the country who earns less in a month would rather opt for public healthcare.",Negative
31-35,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,Yes,Topaz;Topaz Plus;Emerald;Amber;Opal;Jade;Ruby;Emerald Plus;Amber Plus,Very positive,"Yes, I have a good idea",,,,,Hospitalisation;Dental;Optical,Because it is expensive. And sometimes you just feel like most of your needs are not covered as you cannot really afford the highest option.,Positive
25-30,Student,"Under N$5,000",Khomas Region,No,Yes,Topaz;Topaz Plus;Jade;Ruby,Somewhat positive,I have heard figures but I am not sure,Too expensive,2.0,Lower monthly cost,Under N$500,Doctor visits;Dental;Optical,It’s expensive ,Negative
25-30,Unemployed,"Under N$5,000",Other urban area,No,No,,,"No, I have no idea",Too expensive;I do not fully understand how it works;I have never thought about it,3.0,My employer covering part or all of the cost;A better understanding of the benefits;A recommendation from someone I trust,Under N$500,Emergency cover,They Believe That It’s Expensive And Only For Employed Individuals.,Negative
31-35,Self-employed,"N$10,000 - N$25,000",Other urban area,No,No,None of the above,I have never heard of them,"No, I have no idea",Other,1.0,Other,I would not pay for it at all,Doctor visits;Hospitalisation;Chronic medication;Dental;Mental health support;Emergency cover,Not enough education on medical aid,Neutral
18-24,Student,Prefer not to say,Khomas Region,No,No,,,"No, I have no idea",Too expensive,2.0,Lower monthly cost,Under N$500,Emergency cover,Because some of them might be ignorant,Neutral
25-30,Employed full-time,"N$5,000 - N$10,000",Khomas Region,No,No,,,I have heard figures but I am not sure,My employer does not offer it,3.0,More flexible or customisable plan,Under N$500,Emergency cover,Because it’s costly and we hardly use it,Negative
31-35,Employed full-time,"Above N$20,000",Khomas Region,Yes,Yes,Amber;Ruby;Amber Plus,Somewhat positive,I have heard figures but I am not sure,,,,,Hospitalisation;Dental;Optical,"Number one reason is cost, then lack of information ",Neutral
25-30,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,Yes,Topaz;Topaz Plus;Emerald;Amber;Opal;Jade;Ruby;Emerald Plus;Amber Plus,Neutral,I have heard figures but I am not sure,,,,,Doctor visits;Dental;Optical,Because not everyone can afford ,Neutral
25-30,Employed full-time,"Under N$5,000",Other urban area,No,No,,,I have heard figures but I am not sure,Too expensive,5.0,Lower monthly cost;My employer covering part or all of the cost,Under N$500,Doctor visits;Dental;Mental health support,Yes but also just because of misinformation and not understanding that it is a need. ,Neutral
25-30,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,Yes,Topaz;Topaz Plus,Somewhat positive,"Yes, I have a good idea",,,,,Doctor visits;Hospitalisation;Maternity cover,Financial constraints and perhaps lack of information. Also bad experiences with past medical aid funds,Negative
18-24,Unemployed,"Under N$5,000",Khomas Region,No,No,,I have never heard of them,"No, I have no idea",Too expensive,1.0,A promotional offer or incentive,"N$1,000 - N$2,000",Maternity cover;Mental health support;Emergency cover,They're unemployed and can't afford that ,Neutral
18-24,Student,Prefer not to say,Other urban area,Yes,No,,,"Yes, I have a good idea",,,,,Doctor visits,Because most of them don't have monthly salaries and the medical aid card deducts from ones salary ,Positive
25-30,Student,"Under N$5,000",Khomas Region,No,Yes,Emerald Plus,Somewhat positive,I have heard figures but I am not sure,I have never thought about it,3.0,Lower monthly cost;My employer covering part or all of the cost;More flexible or customisable plan;A promotional offer or incentive,Under N$500,Hospitalisation;Dental;Mental health support;Emergency cover,The cost ,Neutral
25-30,Student,"Under N$5,000",Khomas Region,No,Yes,Emerald,Very positive,I have heard figures but I am not sure,Other,5.0,My employer covering part or all of the cost,"N$500 - N$1,000",Hospitalisation;Chronic medication;Maternity cover,It’s too expensive ,Negative
31-35,Employed full-time,"Above N$20,000",Khomas Region,No,Yes,Topaz;Emerald;Jade;Ruby,,I have heard figures but I am not sure,I have never thought about it,5.0,Lower monthly cost;A better understanding of the benefits;A promotional offer or incentive,Under N$500,Doctor visits;Chronic medication;Optical,"The price, and at times if you are single person they don’t see the need for it ",Negative
31-35,Self-employed,"N$5,000 - N$10,000",Other urban area,No,No,None of the above,,I have heard figures but I am not sure,Too expensive,5.0,My employer covering part or all of the cost,Under N$500,Doctor visits,"Many people are not really avoiding medical aid, and majority of them want it but they can't afford it becuse they are unemployed or earning lower income.",Positive
25-30,Employed full-time,"N$10,000 - N$25,000",Rural area,Yes,No,,,"Yes, I have a good idea",,,,,Emergency cover,Hadly sick and it keeps deducting even when not used.,Negative
18-24,Student,"Under N$5,000",Khomas Region,No,No,,,"No, I have no idea",Other,1.0,Other,Under N$500,Doctor visits;Hospitalisation;Emergency cover,Don't have enough income to cover the medical aid,Neutral
31-35,Employed full-time,"Above N$20,000",Khomas Region,Yes,Yes,Ruby,Neutral,"Yes, I have a good idea",,,,,Doctor visits;Chronic medication;Emergency cover,Reason being they thing is expensive and they dnt get sick that often.,Negative
25-30,Employed part-time,"Under N$5,000",Khomas Region,No,Yes,None of the above,Neutral,I have heard figures but I am not sure,Too expensive,5.0,Lower monthly cost,Under N$500,Doctor visits;Chronic medication;Mental health support,"Because most of the young people don't have jobs that can cover that as a benefit ,because most employment opportunities are are on contract based ",Positive
31-35,Employed full-time,"Above N$20,000",Khomas Region,Yes,Yes,Jade;Ruby;Emerald Plus;Amber Plus,Very positive,"Yes, I have a good idea",,5.0,Lower monthly cost;A better understanding of the benefits;More flexible or customisable plan;A promotional offer or incentive,"N$1,000 - N$2,000",Hospitalisation;Chronic medication;Dental;Optical;Maternity cover;Mental health support;Emergency cover,Cost,Neutral
25-30,Employed full-time,"N$5,000 - N$10,000",Khomas Region,No,No,,,I have heard figures but I am not sure,My employer does not offer it,3.0,More flexible or customisable plan,Under N$500,Hospitalisation;Dental;Maternity cover,Because their work places doesn’t offer it and it’s too expensive when covering it yourself with no company.,Negative
31-35,Employed part-time,"N$10,000 - N$25,000",Khomas Region,No,Yes,Emerald Plus,Neutral,I have heard figures but I am not sure,My employer does not offer it;I use alternatives like cash or pay for health insurance,3.0,Lower monthly cost;More flexible or customisable plan,Under N$500,Hospitalisation;Dental,"It’s expensive for you hardly use it and the one or teo times you wish to, it doesn’t cover much..",Negative
31-35,Unemployed,"Under N$5,000",Rural area,No,Yes,Ruby,Neutral,"No, I have no idea",Too expensive,3.0,Lower monthly cost,"N$500 - N$1,000",Doctor visits;Hospitalisation;Emergency cover,It’s to prepare them for the future as anything can happen anytime regarding ones health ,Neutral
18-24,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,Yes,Topaz;Topaz Plus;Amber;Jade,Very positive,"Yes, I have a good idea",,,,,Chronic medication;Optical;Mental health support,The cost is too high,Positive
25-30,Employed part-time,"N$5,000 - N$10,000",Other urban area,Yes,Yes,Topaz;Topaz Plus;Emerald;Amber;Jade;Ruby,Neutral,"Yes, I have a good idea",,,,,Dental,Depletion of personal medicine on top of high fees,Positive
25-30,Employed full-time,"N$10,000 - N$25,000",Khomas Region,No,Yes,None of the above,Neutral,I have heard figures but I am not sure,My employer does not offer it,1.0,Lower monthly cost,Under N$500,Doctor visits,They can't afford it.,Neutral
25-30,Unemployed,Prefer not to say,Other urban area,No,Yes,Emerald;Opal,Very positive,I have heard figures but I am not sure,I do not fully understand how it works,3.0,A better understanding of the benefits;A recommendation from someone I trust;A promotional offer or incentive,Under N$500,Doctor visits;Chronic medication;Maternity cover;Mental health support;Emergency cover,In most cases people have less understanding about medical aids.,Positive
25-30,Employed full-time,"N$10,000 - N$25,000",Khomas Region,No,Yes,Topaz;Topaz Plus;Emerald;Amber;Opal;Jade;Ruby;Emerald Plus;Amber Plus,Neutral,"Yes, I have a good idea",Too expensive;My employer does not offer it,5.0,Lower monthly cost;My employer covering part or all of the cost,"N$500 - N$1,000",Doctor visits;Hospitalisation;Chronic medication;Dental;Maternity cover;Mental health support;Emergency cover,It is expensive and many do not have jobs. ,Neutral
25-30,Self-employed,"Under N$5,000",Other urban area,No,No,,,"No, I have no idea",I have never thought about it,5.0,Other,"N$1,000 - N$2,000",Doctor visits;Dental;Maternity cover,"Lack of understanding the importance and the payments 
",Neutral
25-30,Employed part-time,"Under N$5,000",Khomas Region,No,Yes,None of the above,Very positive,"No, I have no idea",Too expensive;My employer does not offer it,5.0,A better understanding of the benefits,Under N$500,Dental;Maternity cover;Emergency cover,Costs,Neutral
18-24,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,Yes,Topaz,Very positive,I have heard figures but I am not sure,,,,,Optical;Mental health support;Emergency cover,Most likely due to financial difficulties ,Positive
18-24,Unemployed,Prefer not to say,Khomas Region,No,No,,,"No, I have no idea",I have never thought about it,1.0,A better understanding of the benefits,Under N$500,Dental,Because they do not understand the benefits and I think it's because they think it's for employed people only.,Neutral
25-30,Employed part-time,"N$10,000 - N$25,000",Other urban area,No,Yes,Topaz Plus,Neutral,I have heard figures but I am not sure,Too expensive,5.0,My employer covering part or all of the cost,Under N$500,Hospitalisation;Chronic medication;Mental health support,Because the price is to high for monthly deductions ,Positive
25-30,Employed full-time,"N$5,000 - N$10,000",Khomas Region,Yes,Yes,Topaz Plus,Somewhat positive,"Yes, I have a good idea",,,,,Doctor visits;Hospitalisation;Dental,"They don’t avoid it, they can’t afford it.",Neutral
18-24,Student,Prefer not to say,Other urban area,No,Yes,None of the above,I have never heard of them,I have heard figures but I am not sure,Other,5.0,Other,Under N$500,Doctor visits;Dental;Mental health support,Many young Namibians tends to forgot medical aid due to its perceived cost and a sense of invulnerability associated with youth,Positive
25-30,Employed full-time,"N$5,000 - N$10,000",Khomas Region,No,Yes,Topaz;Topaz Plus;Emerald;Amber;Opal;Jade;Ruby;Emerald Plus;Amber Plus,Neutral,"Yes, I have a good idea",Too expensive;My employer does not offer it,5.0,Lower monthly cost;My employer covering part or all of the cost;More flexible or customisable plan;A promotional offer or incentive,"N$500 - N$1,000",Doctor visits;Dental;Optical;Mental health support;Emergency cover,Finances and not using all the benefits.,Neutral
25-30,Unemployed,"N$5,000 - N$10,000",Khomas Region,Yes,Yes,Topaz;Topaz Plus;Emerald;Amber;Opal;Ruby;Emerald Plus;Amber Plus,Very positive,"Yes, I have a good idea",,,,,Doctor visits;Hospitalisation;Chronic medication;Dental;Optical;Maternity cover;Mental health support;Emergency cover,"It is very costly, and doesn't accommodate unemployed people ",Positive
25-30,Employed full-time,"Above N$20,000",Khomas Region,Yes,Yes,None of the above,Very positive,I have heard figures but I am not sure,Other,3.0,My employer covering part or all of the cost,"N$1,000 - N$2,000",Dental;Optical,Unemployment ,Neutral
31-35,Self-employed,"N$10,000 - N$25,000",Other urban area,No,Yes,Emerald Plus,Neutral,"Yes, I have a good idea",Too expensive,3.0,Lower monthly cost,Under N$500,Emergency cover,Expensive ,Negative
25-30,Employed part-time,"N$5,000 - N$10,000",Other urban area,No,No,,,I have heard figures but I am not sure,My employer does not offer it,3.0,A better understanding of the benefits,Under N$500,Hospitalisation;Optical;Emergency cover,Fear of paying ,Neutral
31-35,Employed full-time,"Above N$20,000",Other urban area,No,Yes,Topaz;Topaz Plus;Emerald;Amber;Opal;Jade;Ruby;Emerald Plus;Amber Plus,Neutral,I have heard figures but I am not sure,Too expensive,5.0,My employer covering part or all of the cost,"N$500 - N$1,000",Doctor visits;Hospitalisation;Maternity cover,It’s expensive ,Negative
25-30,Unemployed,"Under N$5,000",Khomas Region,No,Yes,None of the above,,I have heard figures but I am not sure,I do not fully understand how it works,3.0,My employer covering part or all of the cost,"N$500 - N$1,000",Doctor visits;Hospitalisation;Chronic medication;Dental;Optical;Maternity cover;Mental health support;Emergency cover,Because of funds,Neutral
Prefer not to say,Unemployed,"Under N$5,000",Other urban area,No,No,,,"No, I have no idea",Other,1.0,Other,"N$500 - N$1,000",Doctor visits;Dental;Optical,No money to pay for it ,Neutral
25-30,Employed full-time,"N$5,000 - N$10,000",Khomas Region,Yes,Yes,Topaz;Topaz Plus;Jade,Neutral,"Yes, I have a good idea",,,,,Dental,"I don’t think young Namibians avoid medical I think they are just not well informed, they probably think you have to be employed to qualify for medical aid. And the informed young people just can’t afford medical aid because it’s so expensive.",Negative
25-30,Employed full-time,"N$5,000 - N$10,000",Khomas Region,Yes,Yes,Topaz Plus,Neutral,"Yes, I have a good idea",,,,,Doctor visits;Hospitalisation;Dental;Optical;Mental health support,"I do not think the youth avoids it intentionally. More of, they have no choice because of funds.",Positive
18-24,Employed full-time,"N$5,000 - N$10,000",Other urban area,No,Yes,Topaz;Topaz Plus;Emerald;Amber;Opal;Jade;Ruby;Emerald Plus;Amber Plus,Very positive,"Yes, I have a good idea",Too expensive;My employer does not offer it;Other,5.0,My employer covering part or all of the cost;A promotional offer or incentive,"N$1,000 - N$2,000",Doctor visits;Maternity cover;Emergency cover,"The cost of the medical aids is not on par with what most Namibians are earning. The other is that the lower options of medical aids do not cover hospitalisation,  except for NMC toaz plus.",Positive
Prefer not to say,Employed full-time,"Above N$20,000",Khomas Region,Yes,Yes,Jade;Ruby;Emerald Plus;Amber Plus,Somewhat positive,I have heard figures but I am not sure,,,,,Dental,Affordability ,Neutral
25-30,Employed full-time,"N$5,000 - N$10,000",Other urban area,Yes,Yes,None of the above,Neutral,I have heard figures but I am not sure,,,,,Doctor visits;Dental;Emergency cover,Monthly deductions ,Neutral
25-30,Unemployed,"Under N$5,000",Khomas Region,No,Yes,None of the above,Neutral,"No, I have no idea",Too expensive,3.0,My employer covering part or all of the cost,Under N$500,Doctor visits;Dental;Optical,"Because they cannot afford it, or they think its an unnecessary expense. ",Negative
18-24,Student,"Under N$5,000",Khomas Region,No,No,,,I have heard figures but I am not sure,Too expensive;I am young and healthy - I do not need it yet;I do not fully understand how it works;My employer does not offer it;I use alternatives like cash or pay for health insurance;I have never thought about it;Other,1.0,Lower monthly cost;My employer covering part or all of the cost;A better understanding of the benefits;More flexible or customisable plan;A recommendation from someone I trust;A promotional offer or incentive;Other,Under N$500,Doctor visits;Dental;Emergency cover,Its expensive and some cant afford,Negative
25-30,Unemployed,"Under N$5,000",Khomas Region,No,Maybe,,,"No, I have no idea",Other,1.0,Lower monthly cost;A recommendation from someone I trust,Under N$500,Doctor visits;Hospitalisation;Dental,It's too costly to them,Neutral
18-24,Student,"Under N$5,000",Khomas Region,No,No,,,"No, I have no idea",Other,3.0,Lower monthly cost,Under N$500,Doctor visits;Optical;Mental health support,Because many Namibians think medical aid is expensive ,Neutral
18-24,Student,"Under N$5,000",Other urban area,Yes,Yes,None of the above,Very positive,I have heard figures but I am not sure,,,,,Doctor visits;Hospitalisation;Maternity cover,Because they are expensive ,Negative
Prefer not to say,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,Yes,Topaz;Topaz Plus;Emerald;Amber;Opal;Jade;Ruby;Emerald Plus;Amber Plus,Very positive,"Yes, I have a good idea",,,,,Hospitalisation;Maternity cover;Emergency cover,Because it’s expensive and they cannot afford,Negative
25-30,Employed full-time,"N$10,000 - N$25,000",Khomas Region,No,Yes,Topaz Plus,Neutral,I have heard figures but I am not sure,I do not fully understand how it works,5.0,Lower monthly cost;A better understanding of the benefits;More flexible or customisable plan,Under N$500,Doctor visits;Hospitalisation;Dental;Optical;Maternity cover;Mental health support;Emergency cover,Very ignorant and maybe financial incompetence ,Positive
25-30,Unemployed,Prefer not to say,Other urban area,No,No,,,"No, I have no idea",Other,3.0,Other,"N$500 - N$1,000",Doctor visits;Chronic medication;Maternity cover,High rate of unemployment and lack of knowledge how medical aid works. ,Positive
31-35,Employed full-time,"N$5,000 - N$10,000",Other urban area,Yes,Yes,Emerald;Opal;Jade;Ruby,Somewhat positive,"Yes, I have a good idea",,,,,Doctor visits;Chronic medication;Mental health support,"We don’t, that’s the thing. Or maybe not the ones I know.",Neutral
25-30,Employed full-time,"N$5,000 - N$10,000",Rural area,Yes,No,None of the above,Somewhat negative,"No, I have no idea",I use alternatives like cash or pay for health insurance,2.0,A promotional offer or incentive,I would not pay for it at all,Doctor visits;Chronic medication;Optical,I have no idea ,Neutral
18-24,Student,Prefer not to say,Khomas Region,No,Yes,,Very positive,I have heard figures but I am not sure,I use alternatives like cash or pay for health insurance,3.0,More flexible or customisable plan,Under N$500,Doctor visits;Dental;Maternity cover,Because it's expensive ,Negative
18-24,Employed full-time,Prefer not to say,Other urban area,No,Yes,Emerald;Amber;Jade;Ruby,Somewhat positive,"No, I have no idea",Other,3.0,A better understanding of the benefits,Under N$500,Doctor visits;Hospitalisation;Dental;Optical;Maternity cover;Emergency cover,Most have lower income rate or it could be unemployment . ,Positive
31-35,Employed full-time,"Above N$20,000",Khomas Region,Yes,Yes,Topaz;Topaz Plus;Emerald;Amber;Opal;Jade;Ruby;Emerald Plus;Amber Plus,Somewhat positive,"Yes, I have a good idea",,,,,Doctor visits;Maternity cover;Emergency cover,"It’s expensive, especially when paying the full premium out of pocket.",Negative
Prefer not to say,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,Yes,None of the above,Somewhat positive,"No, I have no idea",,,,,Doctor visits;Chronic medication;Optical,Private medical aid is expensive ,Negative
25-30,Self-employed,"Under N$5,000",Other urban area,No,No,,,"No, I have no idea",I do not fully understand how it works,1.0,Lower monthly cost,Under N$500,Hospitalisation;Dental;Maternity cover,Because of financial difficulties ,Neutral
18-24,Employed part-time,"N$5,000 - N$10,000",Khomas Region,No,Yes,Topaz;Topaz Plus;Emerald;Amber;Opal;Jade;Ruby;Emerald Plus;Amber Plus,Neutral,"Yes, I have a good idea",My employer does not offer it;I use alternatives like cash or pay for health insurance,4.0,My employer covering part or all of the cost;A better understanding of the benefits;More flexible or customisable plan,"N$500 - N$1,000",Doctor visits;Dental;Optical,Cause they are broke,Neutral
31-35,Employed full-time,"N$5,000 - N$10,000",Rural area,No,No,None of the above,,I have heard figures but I am not sure,My employer does not offer it,3.0,A better understanding of the benefits,Under N$500,Doctor visits;Chronic medication;Dental,Ignorant and lack of information about the important of medical aid .,Positive
18-24,Employed part-time,"N$5,000 - N$10,000",Khomas Region,Yes,Yes,None of the above,Neutral,"Yes, I have a good idea",,,,,Hospitalisation;Dental;Maternity cover,They think it’s not important until they start working or are sick,Negative
18-24,Employed full-time,"N$10,000 - N$25,000",Khomas Region,No,Yes,None of the above,Neutral,I have heard figures but I am not sure,I do not fully understand how it works,3.0,A better understanding of the benefits,"N$500 - N$1,000",Hospitalisation;Dental;Emergency cover,They can’t afford it.,Neutral
25-30,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,Yes,Topaz;Topaz Plus;Emerald;Amber;Opal;Jade;Ruby;Emerald Plus;Amber Plus,Neutral,"Yes, I have a good idea",,,,,Doctor visits;Hospitalisation;Emergency cover,The high cost!,Positive
18-24,Employed full-time,"Under N$5,000",Khomas Region,Yes,No,,,I have heard figures but I am not sure,,,,,Emergency cover,"I don’t think they avoid it , they just can’t afford because of the salaries they’re earning, overall everyone wants to have a medical aid, if they could , they would. ",Positive
25-30,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,No,,Neutral,"No, I have no idea",,,,,Doctor visits,It’s costly ,Neutral
31-35,Employed full-time,"N$10,000 - N$25,000",Other urban area,Yes,Yes,,,"Yes, I have a good idea",,,,,Doctor visits;Hospitalisation;Chronic medication;Dental;Optical;Maternity cover;Mental health support;Emergency cover,It’s expensive ,Negative
25-30,Student,"Under N$5,000",Other urban area,No,No,None of the above,,"No, I have no idea",,1.0,Lower monthly cost;My employer covering part or all of the cost;A better understanding of the benefits,"N$500 - N$1,000",Doctor visits;Dental;Maternity cover,Expensive ,Negative
25-30,Unemployed,"Under N$5,000",Khomas Region,No,Yes,Topaz Plus;Emerald;Amber;Opal;Jade;Ruby,Neutral,"Yes, I have a good idea",Too expensive,3.0,Lower monthly cost,Under N$500,Doctor visits;Hospitalisation;Chronic medication;Dental;Optical;Mental health support;Emergency cover,They don't know the value and the affordability based on assumption ,Neutral
31-35,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,Yes,Topaz;Topaz Plus;Emerald;Amber;Opal;Jade;Ruby;Emerald Plus;Amber Plus,Somewhat negative,"Yes, I have a good idea",,,,,Doctor visits;Optical;Maternity cover,It’s expensive.,Negative
25-30,Unemployed,"N$5,000 - N$10,000",Other urban area,No,Yes,None of the above,Very positive,"No, I have no idea",On short-term contract which does not offer medical aid,1.0,A better understanding of the benefits,Under N$500,Doctor visits,I have no idea.,Neutral
18-24,Student,Prefer not to say,Khomas Region,No,No,None of the above,I have never heard of them,"No, I have no idea",I have never thought about it,1.0,Other,I would not pay for it at all,Dental;Optical,The cost of paying for it,Neutral
25-30,Employed full-time,"N$10,000 - N$25,000",Other urban area,Yes,Yes,Topaz;Topaz Plus;Emerald;Amber;Opal;Jade;Ruby;Emerald Plus;Amber Plus,Somewhat positive,"Yes, I have a good idea",,,,,Doctor visits;Chronic medication;Maternity cover,I think because of affordability and they might not know the full benefits of medical aid.,Positive
Prefer not to say,Employed full-time,"Above N$20,000",Khomas Region,Yes,Yes,Ruby;Emerald Plus,Very positive,"Yes, I have a good idea",,,,,Doctor visits;Hospitalisation;Dental;Maternity cover,Due to financial difficulties ,Negative
25-30,Employed full-time,"N$5,000 - N$10,000",Other urban area,No,No,,,"No, I have no idea",My employer does not offer it,4.0,Lower monthly cost;A better understanding of the benefits;More flexible or customisable plan;A recommendation from someone I trust,Under N$500,Doctor visits,We do not qualify and there are no medical aid service providers that want to accept cash sustomers. ,Neutral
25-30,Self-employed,"N$10,000 - N$25,000",Khomas Region,No,No,,,I have heard figures but I am not sure,I do not fully understand how it works,1.0,A better understanding of the benefits,Under N$500,Hospitalisation;Maternity cover;Emergency cover,It’s expensive and people don’t understand it well enough to apply for it.,Negative
25-30,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,Yes,Topaz;Topaz Plus;Emerald;Ruby,,"Yes, I have a good idea",,,,,Doctor visits;Hospitalisation;Dental;Maternity cover,"Mostly due to being unemployed, therefore affects affordability ",Negative
18-24,Self-employed,"Under N$5,000",Khomas Region,No,No,,,"Yes, I have a good idea",,3.0,Lower monthly cost,Under N$500,Doctor visits;Hospitalisation;Emergency cover,It’s expensive ,Negative
25-30,Unemployed,"Under N$5,000",Khomas Region,No,No,,,"Yes, I have a good idea",,5.0,Lower monthly cost,Under N$500,Optical;Maternity cover;Emergency cover,It's very experienced and many young Namibians will not afford it.,Positive
25-30,Unemployed,"Under N$5,000",Khomas Region,No,No,,,I have heard figures but I am not sure,"Currently unemployed, I won’t be able to afford it ",5.0,A better understanding of the benefits,Under N$500,Emergency cover,"Most young people feel they don’t get sick often, so they think:
Why pay every month for something I barely use?",Negative
25-30,Employed full-time,"N$10,000 - N$25,000",Other urban area,Yes,No,,,"No, I have no idea",,,,,Doctor visits,They are been deducted for something they hardly or not use at all ..one can get sick after 10 years ,Negative
31-35,Employed full-time,"N$5,000 - N$10,000",Other urban area,No,No,,,"No, I have no idea",I do not fully understand how it works,5.0,A promotional offer or incentive,Under N$500,Emergency cover,They think they will not fall sick ,Negative
18-24,Student,Prefer not to say,Other urban area,No,No,,,"No, I have no idea",I have never thought about it,1.0,Other,I would not pay for it at all,Emergency cover,There are public hospitals to attend to so I don't see a need to have medical aid ,Neutral
25-30,Unemployed,"Under N$5,000",Khomas Region,No,No,,,"No, I have no idea",Student ,2.0,A better understanding of the benefits,"N$500 - N$1,000",Emergency cover,They do not see the importance until in a life threatening condition ,Neutral
31-35,Student,"Under N$5,000",Khomas Region,No,Yes,None of the above,Neutral,I have heard figures but I am not sure,My employer does not offer it,1.0,Other,I would not pay for it at all,Mental health support,It's ripping us off and it's not affordable to the average Namibian ,Negative
18-24,Student,Prefer not to say,Rural area,Yes,Maybe,None of the above,,"No, I have no idea",,,,,Emergency cover,I really don’t know because I can not decide for others ,Positive
18-24,Unemployed,"Under N$5,000",Other urban area,No,Maybe,None of the above,I have never heard of them,"No, I have no idea",fell of parents medical aid plan as am not a registered student ,1.0,Other,"N$500 - N$1,000",Doctor visits;Dental;Optical,they don't have the finaces to fund it,Neutral
25-30,Student,"N$10,000 - N$25,000",Other urban area,No,Yes,Topaz;Emerald;Opal;Jade;Ruby;Emerald Plus;Amber Plus,Very positive,I have heard figures but I am not sure,Still a student ,3.0,Lower monthly cost;A better understanding of the benefits;A recommendation from someone I trust;A promotional offer or incentive,Under N$500,Doctor visits;Hospitalisation;Dental;Mental health support;Emergency cover,Due to misinformation or misunderstanding from different sources ,Negative
